,,Model,Family,Line,Platform,"OPN Tray","OPN PIB","OPN MPK","Launch Date","# of CPU Cores","# of Threads","# of GPU Cores","Compute Cores","Base Clock","Max Boost Clock ¹ ²","Total L1 Cache","Total L2 Cache","Total L3 Cache",Unlocked,CMOS,Package,"PCI Express® Version","Thermal Solution PIB","Thermal Solution MPK","Default TDP / TDP",cTDP,"Max Temps","*OS Support","System Memory Specification","System Memory Type","Memory Channels","Graphics Frequency","Graphics Model","Graphics Core Count","Supported Technologies",DisplayPort,HDMI
,on,"AMD Ryzen™ 3 1300X","AMD Ryzen™ Processors","AMD Ryzen™ 3 Desktop Processors",Desktop,YD130XBBM4KAE,YD130XBBAEBOX,YD130XBBAEMPK,07/27/2017,4,4,,,3.5GHz,"Up to 3.7GHz",384KB,2MB,8MB,Yes,14nm,AM4,"PCIe 3.0 x16","Wraith Stealth","Wraith Stealth",65W,,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",2667MHz,DDR4,2,,"Discrete Graphics Card Required",,"AMD SenseMI Technology, Zen Core Architecture, AMD Ryzen™ Master Utility, Enmotus FuzeDrive™ for AMD Ryzen™, AVX2, FMA3, XFR (Extended Frequency Range)",,
,on,"AMD Ryzen™ 3 1200","AMD Ryzen™ Processors","AMD Ryzen™ 3 Desktop Processors",Desktop,YD1200BBM4KAE,YD1200BBAEBOX,YD1200BBAEMPK,07/27/2017,4,4,,,3.1GHz,"Up to 3.4GHz",384KB,2MB,8MB,Yes,14nm,AM4,"PCIe 3.0 x16","Wraith Stealth","Wraith Stealth",65W,,95°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",2667MHz,DDR4,2,,"Discrete Graphics Card Required",,"AMD SenseMI Technology, Zen Core Architecture, AMD VR Ready Processors, Enmotus FuzeDrive™ for AMD Ryzen™, AVX2, FMA3, XFR (Extended Frequency Range)",,
,on,"7th Gen A12-9800 APU","AMD A-Series Processors","AMD A12-Series APU for Desktops",Desktop,AD9800AUM44AB,AD9800AUABBOX,,"Channel: 7/27/2017, OEM: 9/5/2016",4,,8,"12 (4 CPU + 8 GPU)",3.8GHz,"Up to 4.2GHz",,2MB,,Yes,28nm,AM4,"PCIe® 3.0 x8",,,65W,,90°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",2400MHz,DDR4,2,"1108 MHz","Radeon™ R7 Series",,,Yes,Yes
,on,"7th Gen A12-9800E APU","AMD A-Series Processors","AMD A12-Series APU for Desktops",Desktop,AD9800AHM44AB,AD9800AHABBOX,,9/5/2016,4,,8,"12 (4 CPU + 8 GPU)",3.1GHz,"Up to 3.8GHz",,2MB,,Yes,28nm,AM4,"PCIe® 3.0 x8",,,35W,,90°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",2400MHz,DDR4,2,"900 MHz","Radeon™ R7 Series",,,Yes,Yes
,on,"7th Gen A10-9700 APU","AMD A-Series Processors","AMD A10-Series APU for Desktops",Desktop,AD9700AGM44AB,AD9700AGABBOX,,"Channel: 7/27/2017, OEM: 9/5/2016",4,,6,"10 (4 CPU + 6 GPU)",3.5GHz,"Up to 3.8GHz",,2MB,,Yes,28nm,AM4,"PCIe® 3.0 x8",,,65W,45/65W,90°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",2400MHz,DDR4,2,"1029 MHz","Radeon™ R7 Series",,,Yes,Yes
,on,"7th Gen A10-9700E APU","AMD A-Series Processors","AMD A10-Series APU for Desktops",Desktop,AD9700AHM44AB,AD9700AHABBOX,,9/5/2016,4,,6,"10 (4 CPU + 6 GPU)",3.0GHz,"Up to 3.5GHz",,2MB,,Yes,28nm,AM4,"PCIe® 3.0 x8",,,35W,,90°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",2400MHz,DDR4,3,"847 MHz","Radeon™ R7 Series",,,Yes,Yes
,on,"7th Gen A8-9600 APU","AMD A-Series Processors","AMD A8-Series APU for Desktops",Desktop,AD9600AGM44AB,AD9600AGABBOX,,"Channel: 7/27/2017, OEM: 9/5/2016",4,,6,"10 (4 CPU + 6 GPU)",3.1GHz,"Up to 3.4GHz",,2MB,,Yes,28nm,AM4,"PCIe® 3.0 x8",,,65W,45/65W,90°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",2400MHz,DDR4,2,"900 MHz","Radeon™ R7 Series",,,Yes,Yes
,on,"7th Gen A6-9550 APU","AMD A-Series Processors","AMD A6-Series APU for Desktops",Desktop,AD9550AGM23AB,AD9550AGABBOX,,7/27/2017,2,,6,"8 (2 CPU + 6 GPU)",3.8GHz,"Up to 4.0GHz",,1MB,,Yes,28nm,AM4,"PCIe® 3.0 x8",,,65W,45/65W,90°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",2400MHz,DDR4,2,"1029 MHz","Radeon™ R5 Series",,"DirectX® 12 Technology, Unified Video Decoder (UVD)",Yes,Yes
,on,"7th Gen A6-9500 APU","AMD A-Series Processors","AMD A6-Series APU for Desktops",Desktop,AD9500AGM23AB,AD9500AGABBOX,,"Channel: 7/27/2017, OEM: 9/5/2016",2,,6,"8 (2 CPU + 6 GPU)",3.5GHz,"Up to 3.8GHz",,1MB,,Yes,28nm,AM4,"PCIe® 3.0 x8",,,65W,45/65W,90°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",2400MHz,DDR4,2,"1029 MHz","Radeon™ R5 Series",,,Yes,Yes
,on,"7th Gen A6-9500E APU","AMD A-Series Processors","AMD A6-Series APU for Desktops",Desktop,AD9500AHM23AB,AD9500AHABBOX,,"Channel: 7/27/2017, OEM: 9/5/2016",2,,4,"6 (2 CPU + 4 GPU)",3.0GHz,"Up to 3.4GHz",,1MB,,Yes,28nm,AM4,"PCIe® 3.0 x8",,,35W,,90°C,"Windows 10 - 64-Bit Edition, RHEL x86 64-Bit, Ubuntu x86 64-Bit  *Operating System (OS) support will vary by manufacturer.",2400MHz,DDR4,2,"800 MHz","Radeon™ R5 Series",,,Yes,Yes
,on,"A10-7890K with Radeon™ R7 Graphics and Wraith cooler","AMD A-Series Processors","AMD A10-Series APU for Desktops",Desktop,n/a,AD789KXDJCHBX,,,4,,8,"12 (4 CPU + 8 GPU)",4.1GHz,"Up to 4.3GHz",256KB,4MB,,Yes,28nm,FM2+,,"Wraith cooler",,95W,,72.40°C,,2133MHz,DDR3,2,"866 MHz","AMD Radeon™ R7 Graphics",512,"Virtualization, AES, Catalyst Software, AMD Radeon™ Dual Graphics, AMD FreeSync™ Technology, Frame Rate Target Control, Switchable Graphics, The Vulkan® API, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Out of Band Manageability, Per Core Power Gating (CC6), AMD PowerNow!™, AMD PowerTune Technology, System Image Stability, AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, Heterogeneous System Architecture (HSA), AMD Mantle API, DirectX® 12 Technology, FMA4, AVX",Yes,Yes
,on,"A10-7870K with Radeon™ R7 Series","AMD A-Series Processors","AMD A10-Series APU for Desktops",Desktop,AD787KXDI44JC,AD787KXDJCBOX,,,4,4,8,"12 (4 CPU + 8 GPU)",3.9GHz,"Up to 4.1GHz",256KB,4MB,,Yes,28nm,FM2+,,,,95W,,72.40°C,,2133MHz,DDR3,2,"866 MHz","AMD Radeon™ R7 Graphics",512,"Virtualization, AES, Catalyst Software, AMD Radeon™ Dual Graphics, AMD FreeSync™ Technology, Frame Rate Target Control, Switchable Graphics, The Vulkan® API, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Out of Band Manageability, Per Core Power Gating (CC6), AMD PowerNow!™, AMD PowerTune Technology, System Image Stability, AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, Heterogeneous System Architecture (HSA), AMD Mantle API, DirectX® 12 Technology, FMA4, AVX",Yes,Yes
,on,"A10-7870K with Radeon™ R7 Graphics and Near Silent Thermal Solution","AMD A-Series Processors","AMD A10-Series APU for Desktops",Desktop,n/a,AD787KXDJCSBX,,,4,,8,"12 (4 CPU + 8 GPU)",3.9GHz,"Up to 4.1GHz",256KB,4MB,,Yes,28nm,FM2+,,"Near Silent 125W",,95W,,72.40°C,,2133MHz,DDR3,2,"866 MHz","AMD Radeon™ R7 Graphics",512,"Virtualization, AES, Catalyst Software, AMD Radeon™ Dual Graphics, AMD FreeSync™ Technology, Frame Rate Target Control, Switchable Graphics, The Vulkan® API, AMD Elite Experiences, AMD Enduro™ Technology, AMD PowerTune Technology, AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), AMD App Acceleration, AMD HD3D Technology, AMD Mantle API, DirectX® 12 Technology, FMA4, AVX",Yes,Yes
,on,"A10-7860K with Radeon™ R7 Series","AMD A-Series Processors","AMD A10-Series APU for Desktops",Desktop,AD786KYBI44JC,AD786KYBJABOX,,,4,4,8,"12 (4 CPU + 8 GPU)",3.6GHz,"Up to 4.0GHz",256KB,4MB,,Yes,28nm,FM2+,,,,65W,45W/65WW,71.30°C,,2133MHz,DDR3,2,"757 MHz","AMD Radeon™ R7 Graphics",512,"Virtualization, AES, Catalyst Software, AMD Radeon™ Dual Graphics, AMD FreeSync™ Technology, Frame Rate Target Control, Switchable Graphics, The Vulkan® API, AMD Elite Experiences, AMD Enduro™ Technology, AMD PowerTune Technology, AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), AMD App Acceleration, AMD HD3D Technology, AMD Mantle API, DirectX® 12 Technology, FMA4, AVX",Yes,Yes
,on,"A10-7860K with Radeon™ R7 Graphics and Near Silent Thermal Solution","AMD A-Series Processors","AMD A10-Series APU for Desktops",Desktop,n/a,AD786KYBJCSBX,,,4,4,8,"12 (4 CPU + 8 GPU)",3.6GHz,"Up to 4.0GHz",256KB,4MB,,Yes,28nm,FM2+,,"Near Silent 95W",,65W,45W/65WW,71.30°C,,2133MHz,DDR3,2,"757 MHz","AMD Radeon™ R7 Graphics",512,"Virtualization, AES, Catalyst Software, AMD Radeon™ Dual Graphics, AMD FreeSync™ Technology, Frame Rate Target Control, Switchable Graphics, The Vulkan® API, AMD Elite Experiences, AMD Enduro™ Technology, AMD PowerTune Technology, AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), AMD App Acceleration, AMD HD3D Technology, AMD Mantle API, DirectX® 12 Technology, FMA4, AVX",Yes,Yes
,on,"A10-7850K with Radeon™ R7 Series","AMD A-Series Processors","AMD A10-Series APU for Desktops",Desktop,AD785KXBI44JA,AD785KXBJABOX,,,4,4,8,"12 (4 CPU + 8 GPU)",3.7GHz,"Up to 4.0GHz",256KB,4MB,,Yes,28nm,FM2+,,,,95W,,72.40°C,,2133MHz,DDR3,2,"720 MHz","AMD Radeon™ R7 Graphics",512,"Virtualization, AES, Catalyst Software, AMD Radeon™ Dual Graphics, AMD FreeSync™ Technology, Frame Rate Target Control, Switchable Graphics, The Vulkan® API, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Out of Band Manageability, Per Core Power Gating (CC6), AMD PowerNow!™, System Image Stability, AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, Heterogeneous System Architecture (HSA), AMD Mantle API, DirectX® 12 Technology, FMA4, AVX",Yes,Yes
,on,"A10-7800 with Radeon™ R7 Series","AMD A-Series Processors","AMD A10-Series APU for Desktops",Desktop,AD7800YBI44JA,AD7800YBJABOX,,,4,4,8,"12 (4 CPU + 8 GPU)",3.5GHz,"Up to 3.9GHz",256KB,4MB,,No,28nm,FM2+,,,,,45W/65WW,71.30°C,,2133MHz,DDR3,2,"720 MHz","AMD Radeon™ R7 Graphics",512,"Virtualization, AES, Catalyst Software, AMD Radeon™ Dual Graphics, AMD FreeSync™ Technology, Frame Rate Target Control, Switchable Graphics, The Vulkan® API, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Out of Band Manageability, Per Core Power Gating (CC6), AMD PowerNow!™, System Image Stability, AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, Heterogeneous System Architecture (HSA), AMD Mantle API, DirectX® 12 Technology, FMA4, AVX",Yes,Yes
,on,"A10-7700K with Radeon™ R7 Series","AMD A-Series Processors","AMD A10-Series APU for Desktops",Desktop,AD770KXBI44JA,AD770KXBJABOX,,,4,4,6,"10 (4 CPU + 6 GPU)",3.4GHz,"Up to 3.8GHz",256KB,4MB,,Yes,28nm,FM2+,,,,,45W/65WW,72.40°C,,2133MHz,DDR3,2,"720 MHz","AMD Radeon™ R7 Graphics",384,"Virtualization, AES, Catalyst Software, AMD Radeon™ Dual Graphics, AMD FreeSync™ Technology, Frame Rate Target Control, Switchable Graphics, The Vulkan® API, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Out of Band Manageability, Per Core Power Gating (CC6), AMD PowerNow!™, System Image Stability, AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, Heterogeneous System Architecture (HSA), AMD Mantle API, DirectX® 12 Technology, FMA4, AVX",Yes,Yes
,on,"A10-6800K with Radeon™ HD 8670D","AMD A-Series Processors","AMD A10-Series APU for Desktops",Desktop,AD680KWOA44HL,AD680KWOHLBOX,,,4,4,,,4.1GHz,"Up to 4.4GHz",192KB,4MB,,Yes,"32nm SOI",FM2,,,,100W,,74°C,,2133MHz,DDR3,2,"844 MHz","AMD Radeon™ HD 8670D",384,"Virtualization, AES, Catalyst Software, Switchable Graphics, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Per Core Power Gating (CC6), AMD PowerNow!™, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, DirectX® 11, FMA4, AVX",Yes,Yes
,on,"A10-6790K with Radeon™ HD 8670D","AMD A-Series Processors","AMD A10-Series APU for Desktops",Desktop,AD679KWOA44HL,AD679KWOHLBOX,,,4,4,,,4.0GHz,"Up to 4.3GHz",192KB,4MB,,Yes,"32nm SOI",FM2,,,,100W,,74°C,,1866MHz,DDR3,2,"844 MHz","AMD Radeon™ HD 8670D",384,"Virtualization, AES, Catalyst Software, Switchable Graphics, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Per Core Power Gating (CC6), AMD PowerNow!™, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, DirectX® 11, FMA4, AVX",Yes,Yes
,on,"A10-6700 with Radeon™ HD 8670D","AMD A-Series Processors","AMD A10-Series APU for Desktops",Desktop,AD6700OKA44HL,AD6700OKHLBOX,,,4,4,,,3.7GHz,"Up to 4.3GHz",192KB,4MB,,No,"32nm SOI",FM2,,,,65W,,71.30°C,,1866MHz,DDR3,2,"844 MHz","AMD Radeon™ HD 8670D",384,"Virtualization, AES, Catalyst Software, Switchable Graphics, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Per Core Power Gating (CC6), AMD PowerNow!™, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, DirectX® 11, FMA4, AVX",Yes,Yes
,on,"A10-6700T with Radeon™ HD 8650D","AMD A-Series Processors","AMD A10-Series APU for Desktops",Desktop,AD670TYHA44HL,AD670TYHHLBOX,,,4,4,,,2.5GHz,"Up to 3.5GHz",192KB,4MB,,No,"32nm SOI",FM2,,,,45W,,71.30°C,,1866MHz,DDR3,2,"720 MHz","AMD Radeon™ HD 8650D",384,"Virtualization, AES, Catalyst Software, Switchable Graphics, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Per Core Power Gating (CC6), AMD PowerNow!™, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, DirectX® 11, FMA4, AVX",Yes,Yes
,on,"A8-7670K with Radeon™ R7 Graphics and Near Silent Thermal Solution","AMD A-Series Processors","AMD A8-Series APU for Desktops",Desktop,n/a,AD767KXBJCSBX,,,4,4,6,"10 (4 CPU + 6 GPU)",3.6GHz,"Up to 3.9GHz",256KB,4MB,,Yes,28nm,FM2+,,"Near Silent 95W",,95W,,72.40°C,,2133MHz,DDR3,2,"757 MHz","AMD Radeon™ R7 Graphics",512,"Virtualization, AES, Catalyst Software, AMD Radeon™ Dual Graphics, AMD FreeSync™ Technology, Frame Rate Target Control, Switchable Graphics, The Vulkan® API, AMD Elite Experiences, AMD Enduro™ Technology, AMD PowerTune Technology, AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), AMD App Acceleration, AMD HD3D Technology, AMD Mantle API, DirectX® 12 Technology, FMA4, AVX",Yes,Yes
,on,"A8-7650K with Radeon™ R7 Series","AMD A-Series Processors","AMD A8-Series APU for Desktops",Desktop,AD765KXBI44JA,AD765KXBJABOX,,,4,4,6,"10 (4 CPU + 6 GPU)",3.3GHz,"Up to 3.8GHz",256KB,4MB,,Yes,28nm,FM2+,,,,95W,,72.40°C,,2133MHz,DDR3,2,"720 MHz","AMD Radeon™ R7 Graphics",384,"Virtualization, AES, Catalyst Software, AMD Radeon™ Dual Graphics, AMD FreeSync™ Technology, Frame Rate Target Control, Switchable Graphics, The Vulkan® API, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Out of Band Manageability, Per Core Power Gating (CC6), AMD PowerNow!™, System Image Stability, AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, Heterogeneous System Architecture (HSA), AMD Mantle API, DirectX® 12 Technology, FMA4, AVX",Yes,Yes
,on,"A8-7650K with Radeon™ R7 Graphics and Near Silent Thermal Solution","AMD A-Series Processors","AMD A8-Series APU for Desktops",Desktop,n/a,AD765KXBJASBX,,,4,4,6,"10 (4 CPU + 6 GPU)",3.3GHz,"Up to 3.8GHz",256KB,4MB,,Yes,28nm,FM2+,,"Near Silent 95W",,95W,,72.40°C,,2133MHz,DDR3,2,"720 MHz","AMD Radeon™ R7 Graphics",512,"Virtualization, AES, Catalyst Software, AMD Radeon™ Dual Graphics, AMD FreeSync™ Technology, Frame Rate Target Control, Switchable Graphics, The Vulkan® API, AMD Enduro™ Technology, AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), AMD App Acceleration, AMD HD3D Technology, AMD Mantle API, DirectX® 12 Technology, FMA4, AVX",Yes,Yes
,on,"A8-7600 with Radeon™ R7 Series","AMD A-Series Processors","AMD A8-Series APU for Desktops",Desktop,AD7600YBI44JA,AD7600YBJABOX,,,4,4,6,"10 (4 CPU + 6 GPU)",3.1GHz,"Up to 3.8GHz",256KB,4MB,,No,28nm,FM2+,,,,65W,45W/65WW,71.30°C,,2133MHz,DDR3,2,"720 MHz","AMD Radeon™ R7 Graphics",384,"Virtualization, AES, Catalyst Software, AMD Radeon™ Dual Graphics, AMD FreeSync™ Technology, Frame Rate Target Control, Switchable Graphics, The Vulkan® API, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Out of Band Manageability, Per Core Power Gating (CC6), AMD PowerNow!™, System Image Stability, AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, Heterogeneous System Architecture (HSA), AMD Mantle API, DirectX® 12 Technology, FMA4, AVX",Yes,Yes
,on,"A8-6600K with Radeon™ HD 8570D","AMD A-Series Processors","AMD A8-Series APU for Desktops",Desktop,AD660KWOA44HL,AD660KWOHLBOX,,,4,4,,,3.9GHz,"Up to 4.2GHz",192KB,4MB,,Yes,"32nm SOI",FM2,,,,65W,,74°C,,1866MHz,DDR3,2,"844 MHz","AMD Radeon™ HD 8570D",256,"Virtualization, AES, Catalyst Software, Switchable Graphics, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Per Core Power Gating (CC6), AMD PowerNow!™, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, DirectX® 11, FMA4, AVX",Yes,Yes
,on,"A8-6500 with Radeon™ HD 8570D","AMD A-Series Processors","AMD A8-Series APU for Desktops",Desktop,AD6500OKA44HL,AD6500OKHLBOX,,,4,4,,,3.5GHz,"Up to 4.1GHz",192KB,4MB,,No,"32nm SOI",FM2,,,,65W,,71.30°C,,1866MHz,DDR3,2,"800 MHz","AMD Radeon™ HD 8570D",256,"Virtualization, AES, Catalyst Software, Switchable Graphics, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Per Core Power Gating (CC6), AMD PowerNow!™, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, DirectX® 11, FMA4, AVX",Yes,Yes
,on,"A8-6500T with Radeon™ HD 8550D","AMD A-Series Processors","AMD A8-Series APU for Desktops",Desktop,AD650TYHA44HL,AD650TYHHLBOX,,,4,4,,,2.1GHz,"Up to 3.1GHz",192KB,4MB,,No,"32nm SOI",FM2,,,,45W,,71.30°C,,1866MHz,DDR3,2,"720 MHz","AMD Radeon™ HD 8550D",256,"Virtualization, AES, Catalyst Software, Switchable Graphics, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Per Core Power Gating (CC6), AMD PowerNow!™, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, DirectX® 11, FMA4, AVX",Yes,Yes
,on,"A6-7470K with Radeon™ R5 Series","AMD A-Series Processors","AMD A6-Series APU for Desktops",Desktop,AD747KYBI23JC,AD747KYBJCBOX,,,2,,4,"6 (2 CPU + 4 GPU)",3.7GHz,"Up to 4.0GHz",256KB,1MB,,Yes,28nm,FM2+,,,,65W,45W/65WW,71.30°C,,2133MHz,DDR3,2,"800 MHz","AMD Radeon™ R5 Graphics",256,"Virtualization, AES, Catalyst Software, AMD FreeSync™ Technology, Frame Rate Target Control, Switchable Graphics, The Vulkan® API, AMD Elite Experiences, AMD Enduro™ Technology, AMD PowerTune Technology, AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), AMD App Acceleration, AMD Mantle API, DirectX® 12 Technology, FMA4, AVX",Yes,Yes
,on,"A6-7400K with Radeon™ R5 Series","AMD A-Series Processors","AMD A6-Series APU for Desktops",Desktop,AD740KYBI23JA,AD740KYBJABOX,,,2,2,4,"6 (2 CPU + 4 GPU)",3.5GHz,"Up to 3.9GHz",128KB,1MB,,Yes,28nm,FM2+,,,,65W,45W/65WW,70°C,,1866MHz,DDR3,2,"758 MHz","AMD Radeon™ R5 Graphics",256,"Virtualization, AES, Catalyst Software, AMD FreeSync™ Technology, Frame Rate Target Control, Switchable Graphics, The Vulkan® API, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Out of Band Manageability, Per Core Power Gating (CC6), AMD PowerNow!™, System Image Stability, AMD TrueAudio Technology, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, Heterogeneous System Architecture (HSA), AMD Mantle API, DirectX® 12 Technology, FMA4, AVX",Yes,Yes
,on,"A6-6420K with Radeon™ HD 8470D","AMD A-Series Processors","AMD A6-Series APU for Desktops",Desktop,AD642KOKA23HL,AD642KOKHLBOX,,,2,2,,,4.0GHz,"Up to 4.2GHz",96KB,1MB,,Yes,"32nm SOI",FM2,,,,65W,,70°C,,1866MHz,DDR3,2,"800 MHz","AMD Radeon™ HD 8470D",192,"Virtualization, AES, Catalyst Software, Switchable Graphics, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Per Core Power Gating (CC6), AMD PowerNow!™, Unified Video Decoder (UVD), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, DirectX® 11, FMA4, AVX",Yes,Yes
,on,"A6-6310 with Radeon™ R4 Graphics","AMD A-Series Processors","AMD A6-Series APU for Desktops",Desktop,AM6310ITJ44JBD,-,,,4,4,,,1.8GHz,"Up to 2.4GHz",128KB,2MB,,No,28nm,FT3b,,,,15/25W,,90°C,,1866MHz,DDR3,1,"800 MHz","AMD Radeon™ R4 Series",128,"Virtualization, AES, Catalyst Software, Switchable Graphics, The Vulkan® API, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Per Core Power Gating (CC6), AMD PowerNow!™, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, DirectX® 12 Technology, FMA4, AVX",Yes,Yes
,on,"A6-6400K with Radeon™ HD 8470D","AMD A-Series Processors","AMD A6-Series APU for Desktops",Desktop,AD640KOKA23HL,AD640KOKHLBOX,,,2,2,,,3.9GHz,"Up to 4.1GHz",96KB,1MB,,Yes,"32nm SOI",FM2,,,,65W,,70°C,,1866MHz,DDR3,2,"800 MHz","AMD Radeon™ HD 8470D",192,"Virtualization, AES, Catalyst Software, Switchable Graphics, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Per Core Power Gating (CC6), AMD PowerNow!™, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, DirectX® 11, FMA4, AVX",Yes,Yes
,on,"A6-5200 with Radeon™ HD 8400","AMD A-Series Processors","AMD A6-Series APU for Desktops",Desktop,AM5200IAJ44HMD,-,,,4,4,,,2.0GHz,,256KB,2MB,,No,28nm,FT3,,,,25W,,90°C,,1600MHz,DDR3,1,"600 MHz","AMD Radeon™ HD 8400",128,"Virtualization, AES, Catalyst Software, Switchable Graphics, The Vulkan® API, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Per Core Power Gating (CC6), AMD PowerNow!™, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, DirectX® 11, FMA4, AVX",Yes,Yes
,on,"A4-7300 with Radeon™ HD 8470D","AMD A-Series Processors","AMD A4-Series APU for Desktops",Desktop,AD7300OKA23HL,n/a,,,2,2,,,3.8GHz,"Up to 4.0GHz",96KB,1MB,,No,"32nm SOI",FM2,,,,65W,,70°C,,1600MHz,DDR3,2,"800 MHz","AMD Radeon™ HD 8470D",192,"Virtualization, AES, Catalyst Software, Switchable Graphics, AMD Elite Experiences, AMD Enduro™ Technology, IOMMU v2.0, Per Core Power Gating (CC6), AMD PowerNow!™, Unified Video Decoder (UVD), Video Code Engine (VCE), Enhanced Virus Protection, AMD App Acceleration, AMD HD3D Technology, DirectX® 11, FMA4, AVX",Yes,Yes
